Group Name,Proposal,Funding Organization,Submitted On,Duration,Received Project,CDAC Outlay,Value of Proposal(Total Outlay),str_category_name
e-Governance,SERBOnline Phase-3,Science and Engineering Research Board,06/06/2022,48 months,Yes,"₹ 1,163.60Lakhs","₹ 1,163.60Lakhs",Funded by X
Health Informatics - I,Extension of CMSS e- Aushadhi Delhi,Central Medical Services Society,30/05/2022,12 months,Yes,₹ 72.27Lakhs,₹ 72.27Lakhs,Business Project
Health Informatics - II,University Automation System At Maharashtra University of Health Sciences,"Maharashtra University of Health Sciences, Nashik",30/05/2022,60 months,Yes,"₹ 1,697.11Lakhs","₹ 1,697.02Lakhs",Business Project
Health Informatics - I,AIIMS Raipur HMIS extension,AIIMS Raipur,30/05/2022,60 months,Yes,₹ 392.80Lakhs,₹ 364.10Lakhs,Business Project
Health Informatics - II,FP-LMIS,Divison of FP Ministry of Health and Family Welfare,02/05/2022,24 months,Yes,₹ 39.68Lakhs,₹ 121.79Lakhs,Independent
Health Informatics - I,MGMIS HIS,"Mahatma Gandhi Institute of Medical Sciences, Wardha",25/04/2022,12 months,Yes,₹ 21.20Lakhs,₹ 21.20Lakhs,Business Project
Health Informatics - I,e-RaktKosh 2.0,Minisitry of Health & Family Welfare,01/04/2022,24 months,Yes,₹ 0.00Lakhs,₹ 0.00Lakhs,Independent
Health Informatics - I,test,Department of Health Research,31/03/2022,36 months,Yes,₹ 0.80Lakhs,₹ 0.09Lakhs,Business Project
e-Governance,SUGAM 3.0,Central Drugs Standard Control Organization,16/03/2022,24 months,Yes,₹ 438.59Lakhs,₹ 438.59Lakhs,Business Project
Health Informatics - II,DVDMS UT Puducherry,"Directorate of Health & Family Welfare Services,Puducherry",15/03/2022,12 months,Yes,₹ 90.40Lakhs,₹ 90.40Lakhs,Independent
Embedded Systems,"Building a state-of-the-art Reconfigurable Dataflow and Scalable Deep Learning Accelerator (RDFS DLA) IP & Chip for AI, HPC & Edge applications",Ministry of Electronics and Information Technology,15/03/2022,36 months,Yes,₹ 462.40Lakhs,₹ 462.40Lakhs,Funded by Parent Ministry- Meity
Speech & Natural Language Processing,iMedDesk AI Assisted Healthcare Services Framework,Ministry of Electronics and Information Technology,14/03/2022,24 months,Yes,₹ 200.04Lakhs,₹ 200.04Lakhs,Business Project
Health Informatics - II,HMIS Sikkim,NHM and SHS Sikkim,11/03/2022,36 months,Yes,₹ 0.00Lakhs,₹ 0.00Lakhs,Business Project
e-Governance,Proposal for Maintenance of e-PPMS system and Knowledge Portal for IMPRINT-2,Science and Engineering Research Board,08/03/2022,36 months,Yes,₹ 72.61Lakhs,₹ 72.61Lakhs,Business Project
Speech & Natural Language Processing,Discourse Integrated Dravidian Language to Dravidian Language Machine Translation (DL-DiscoMT),Ministry of Electronics and Information Technology,26/02/2022,36 months,Yes,₹ 52.44Lakhs,₹ 52.40Lakhs,Business Project
Health Informatics - II,DVDMS-Odisha,Odisha State Medical Corporation (OSMC),24/02/2022,15 months,Yes,₹ 53.67Lakhs,₹ 53.67Lakhs,Funded by X
Health Informatics - II,HMIS Arunachal Pradesh,DHS and NHM Arunachal Pradesh,21/02/2022,36 months,Yes,₹ 181.00Lakhs,₹ 181.00Lakhs,Business Project
Speech & Natural Language Processing,Development of Authorship Attribution Methods for Forensics Applications,Directorate of Forensic Science Services,18/02/2022,24 months,Yes,₹ 45.38Lakhs,₹ 45.38Lakhs,Business Project
Health Informatics - I,Implementing the Hospital Management Information System (HMIS) project christened e-Sushrut at the health facilities situated in the state of Himachal Pradesh,National Health Mission - Himachal Pradesh,11/02/2022,60 months,Yes,₹ 986.18Lakhs,₹ 986.18Lakhs,Business Project
Health Informatics - II,test edit proposal,AIIMS Bathinda,08/02/2022,10 months,Yes,₹ 6.00Lakhs,₹ 6.00Lakhs,Business Project
Health Informatics - II,DHS HMIS GOA Year-1,InfoTech Corporation of Goa Ltd,03/02/2022,12 months,Yes,₹ 40.00Lakhs,₹ 40.00Lakhs,Funded by X
